model,auc,auc_ci_low,auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,brier,calibration_slope,calibration_intercept,outcome_prevalence
Logistic regression,0.697,0.682,0.709,0.244,0.225,0.262,0.1158,0.982,-0.135,0.143
Random forest,0.702,0.686,0.715,0.243,0.225,0.262,0.1151,1.083,-0.137,0.143
